year,state,sales
2013,Azuay,152.51572266763296
2013,Bolivar,152.26004473803073
2013,Chimborazo,162.21728553987026
2013,Cotopaxi,139.71826628245876
2013,El Oro,154.89169540660671
2013,Esmeraldas,175.89517081502834
2013,Guayas,164.8012077373155
2013,Imbabura,148.70103367225096
2013,Loja,229.71190194399276
2013,Los Rios,188.2089383234787
2013,Manabi,42.52644230928252
2013,Pastaza,0.0
2013,Pichincha,338.31167493027624
2013,Santa Elena,138.07889225285373
2013,Santo Domingo de los Tsachilas,125.16465394476198
2013,Tungurahua,263.7716762416071
2014,Azuay,232.2258091689162
2014,Bolivar,219.1530049867322
2014,Chimborazo,184.12516571310402
2014,Cotopaxi,181.0230733518018
2014,El Oro,268.1167960568141
2014,Esmeraldas,267.43400822014746
2014,Guayas,233.79746536571216
2014,Imbabura,190.23064364045862
2014,Loja,359.01846266121214
2014,Los Rios,280.6873606438575
2014,Manabi,96.63852758381654
2014,Pastaza,0.0
2014,Pichincha,515.2346091527462
2014,Santa Elena,198.137373696724
2014,Santo Domingo de los Tsachilas,174.43035228276003
2014,Tungurahua,348.1038257961548
2015,Azuay,292.08549428894105
2015,Bolivar,260.224770426054
2015,Chimborazo,210.55960754043147
2015,Cotopaxi,200.89522842131916
2015,El Oro,319.85845882771326
2015,Esmeraldas,316.27584677231556
2015,Guayas,289.5829188637614
2015,Imbabura,218.29695536297763
2015,Loja,362.1170625030879
2015,Los Rios,306.5679407950017
2015,Manabi,138.48544524378292
2015,Pastaza,42.81963562524704
2015,Pichincha,574.2647391062314
2015,Santa Elena,216.83060667193678
2015,Santo Domingo de los Tsachilas,228.0955785653272
2015,Tungurahua,362.0972644874218
2016,Azuay,411.2815363337255
2016,Bolivar,279.2699427792553
2016,Chimborazo,236.4787648820922
2016,Cotopaxi,220.6723365907882
2016,El Oro,380.64200156515153
2016,Esmeraldas,332.00040419559963
2016,Guayas,341.00475674622095
2016,Imbabura,241.62360846324952
2016,Loja,371.35792153141523
2016,Los Rios,338.9063780159575
2016,Manabi,210.54131459012734
2016,Pastaza,171.72381462201804
2016,Pichincha,688.1401864945647
2016,Santa Elena,220.4534231261283
2016,Santo Domingo de los Tsachilas,280.91880908631794
2016,Tungurahua,422.36567059780384
2017,Azuay,444.49953683270365
2017,Bolivar,282.92418522537054
2017,Chimborazo,248.68035696628624
2017,Cotopaxi,224.9080579961301
2017,El Oro,430.29558743057197
2017,Esmeraldas,440.0471819623508
2017,Guayas,357.1406916545276
2017,Imbabura,247.19925842529187
2017,Loja,401.6787400014299
2017,Los Rios,348.77268471546637
2017,Manabi,335.0450649406183
2017,Pastaza,203.38438212593468
2017,Pichincha,725.2969082274612
2017,Santa Elena,286.6870463142464
2017,Santo Domingo de los Tsachilas,301.2330169357077
2017,Tungurahua,456.456592290404
