ds,yhat,state
2013-01-01,116.65809265549154,Azuay
2013-01-02,134.0929233959548,Azuay
2013-01-03,93.33124402742364,Azuay
2013-01-04,113.62262680451722,Azuay
2013-01-05,186.2173775333608,Azuay
2013-01-06,168.36376626684594,Azuay
2013-01-07,124.29551261570664,Azuay
2013-01-08,112.66735435595136,Azuay
2013-01-09,123.49415061524772,Azuay
2013-01-10,84.09768764812668,Azuay
2013-01-11,105.86935168629738,Azuay
2013-01-12,180.00877460244004,Azuay
2013-01-13,163.713429164469,Azuay
2013-01-14,121.16752413719892,Azuay
2013-01-15,110.97892830908764,Azuay
2013-01-16,123.11953801821343,Azuay
2013-01-17,84.8732223520626,Azuay
2013-01-18,107.59948044681362,Azuay
2013-01-19,182.4728911420292,Azuay
2013-01-20,166.67331152682237,Azuay
2013-01-21,124.3751601521114,Azuay
2013-01-22,114.18450560015869,Azuay
2013-01-23,126.07937288345792,Azuay
2013-01-24,87.35740601486532,Azuay
2013-01-25,109.3990314388668,Azuay
2013-01-26,183.40621859681164,Azuay
2013-01-27,166.5918154199263,Azuay
2013-01-28,123.16782038894992,Azuay
2013-01-29,111.78134154218202,Azuay
2013-01-30,122.45368756789468,Azuay
2013-01-31,82.52676400212337,Azuay
2013-02-01,103.4249549468488,Azuay
2013-02-02,176.3926223277535,Azuay
2013-02-03,158.68223527307038,Azuay
2013-02-04,114.54152410706882,Azuay
2013-02-05,102.64843938353994,Azuay
2013-02-06,113.0493875065848,Azuay
2013-02-07,73.10493806195868,Azuay
2013-02-08,94.25120048508262,Azuay
2013-02-09,167.73701400045314,Azuay
2013-02-10,150.8119697510225,Azuay
2013-02-11,99.90459923787397,Azuay
2013-02-12,89.29387076865179,Azuay
2013-02-13,109.00260053568122,Azuay
2013-02-14,70.74381257163442,Azuay
2013-02-15,93.72822522139512,Azuay
2013-02-16,169.16612960012617,Azuay
2013-02-17,154.26550637025883,Azuay
2013-02-18,113.22038021957589,Azuay
2013-02-19,104.64721744683388,Azuay
2013-02-20,118.52479607119764,Azuay
2013-02-21,82.14169664489548,Azuay
2013-02-22,106.85956100651713,Azuay
2013-02-23,183.8522105328659,Azuay
2013-02-24,170.29558993382022,Azuay
2013-02-25,130.51239332820796,Azuay
2013-02-26,122.94253116804995,Azuay
2013-02-27,137.5499882514559,Azuay
2013-02-28,101.61507692709831,Azuay
2013-03-01,126.49779577486925,Azuay
2013-03-02,195.56781137723976,Azuay
2013-03-03,189.43946191229625,Azuay
2013-03-04,148.86985400266713,Azuay
2013-03-05,140.28592939423342,Azuay
2013-03-06,153.67879848622633,Azuay
2013-03-07,116.35978258456558,Azuay
2013-03-08,139.722904114687,Azuay
2013-03-09,214.9830033888424,Azuay
2013-03-10,199.364479830809,Azuay
2013-03-11,157.08903762261818,Azuay
2013-03-12,146.81120217772798,Azuay
2013-03-13,158.55706579752265,Azuay
2013-03-14,119.67044560687944,Azuay
2013-03-15,141.57464079247467,Azuay
2013-03-16,215.509924155816,Azuay
2013-03-17,198.721779856886,Azuay
2013-03-18,155.44827748658213,Azuay
2013-03-19,144.35535504727943,Azuay
2013-03-20,155.47547130532655,Azuay
2013-03-21,116.1538086818318,Azuay
2013-03-22,137.81020791646657,Azuay
2013-03-23,211.6769601268744,Azuay
2013-03-24,194.98745553059885,Azuay
2013-03-25,151.96406358575177,Azuay
2013-03-26,141.2539995209301,Azuay
2013-03-27,152.8686184403314,Azuay
2013-03-28,114.13029786490232,Azuay
2013-03-29,136.4350692245796,Azuay
2013-03-30,210.99110342743907,Azuay
2013-03-31,195.0080300999893,Azuay
2013-04-01,144.8763859348105,Azuay
2013-04-02,142.64935799774423,Azuay
2013-04-03,154.89196730204827,Azuay
2013-04-04,116.71897850015046,Azuay
2013-04-05,139.51255139680512,Azuay
2013-04-06,214.4700158912536,Azuay
2013-04-07,198.79332048517648,Azuay
2013-04-08,156.6775728071982,Azuay
2013-04-09,146.74741464464137,Azuay
2013-04-10,158.9966652816268,Azuay
2013-04-11,120.73539173004008,Azuay
2013-04-12,135.54350806468207,Azuay
2013-04-13,218.0544437256283,Azuay
2013-04-14,194.24452929970084,Azuay
2013-04-15,159.55703546151932,Azuay
2013-04-16,149.20220414826085,Azuay
2013-04-17,160.99613839880567,Azuay
2013-04-18,122.26215942808524,Azuay
2013-04-19,144.4021494372139,Azuay
2013-04-20,218.634576251851,Azuay
2013-04-21,193.842364931366,Azuay
2013-04-22,158.20159775172368,Azuay
2013-04-23,146.93117158360002,Azuay
2013-04-24,157.85435006413866,Azuay
2013-04-25,118.3000706260534,Azuay
2013-04-26,139.67429627171566,Azuay
2013-04-27,213.1981034326344,Azuay
2013-04-28,196.0965605701296,Azuay
2013-04-29,144.77770706135345,Azuay
2013-04-30,141.3138119498404,Azuay
2013-05-01,144.4810098014903,Azuay
2013-05-02,112.84203863522404,Azuay
2013-05-03,134.3728242563982,Azuay
2013-05-04,208.1004377894521,Azuay
2013-05-05,191.24684722189323,Azuay
2013-05-06,148.02616843858002,Azuay
2013-05-07,137.08073431942574,Azuay
2013-05-08,148.42047833339862,Azuay
2013-05-09,109.3697911644989,Azuay
2013-05-10,131.3300121324222,Azuay
2013-05-11,249.7324670186582,Azuay
2013-05-12,200.3315992588885,Azuay
2013-05-13,146.45019954369278,Azuay
2013-05-14,136.04902276507096,Azuay
2013-05-15,147.9583019298577,Azuay
2013-05-16,109.50048483592631,Azuay
2013-05-17,132.07438075084326,Azuay
2013-05-18,206.8932343009308,Azuay
2013-05-19,191.1735531206232,Azuay
2013-05-20,149.12306654548792,Azuay
2013-05-21,139.3765765553444,Azuay
2013-05-22,151.93515176616103,Azuay
2013-05-23,114.11283780267514,Azuay
2013-05-24,129.48999830001898,Azuay
2013-05-25,212.696835349615,Azuay
2013-05-26,197.5118045126464,Azuay
2013-05-27,155.94043482696873,Azuay
2013-05-28,146.60617308092526,Azuay
2013-05-29,159.4989771913377,Azuay
2013-05-30,121.92239493537556,Azuay
2013-05-31,145.2563528094719,Azuay
2013-06-01,220.69576360147528,Azuay
2013-06-02,205.4399356797199,Azuay
2013-06-03,163.68114357507352,Azuay
2013-06-04,154.0411009854381,Azuay
2013-06-05,166.51076516369216,Azuay
2013-06-06,128.39762314590232,Azuay
2013-06-07,151.08861195598428,Azuay
2013-06-08,225.78877171483887,Azuay
2013-06-09,209.71060734987967,Azuay
2013-06-10,167.06251387502988,Azuay
2013-06-11,156.4850047350011,Azuay
2013-06-12,167.9901736978576,Azuay
2013-06-13,128.90854551821323,Azuay
2013-06-14,150.17864134703274,Azuay
2013-06-15,223.50353967914927,Azuay
2013-06-16,206.121080990755,Azuay
2013-06-17,162.26442910359265,Azuay
2013-06-18,150.59757668753434,Azuay
2013-06-19,161.1540798658236,Azuay
2013-06-20,121.2831985466733,Azuay
2013-06-21,142.41162447277728,Azuay
2013-06-22,215.78092868263303,Azuay
